Short description,Description,Caller,Assignment group,language,cleaned_description,descr_len,num_wds,avg_word,uniq_wds,tokenized_desc
msoffice 2016 installation,msoffice 2016 installation,ferxqvsm esmwxqlf,GRP_0,en,msoffice installation,21,2,10.0,2,msoffice installation
your prjuysva.vpbudksy@gmail.com unauthorized loggin attempt,"from: naveuythen dyhtruutt 
sent: wednesday, september 28, 2016 4:56 pm
to: nwfodmhc exurcwkm
subject: dan fw: your prjuysva.vpbudksy@gmail.com unauthorized loggin attempt

hi

i am getting this mail continuously from past 15 days .... can you pls have a look into this. 


",prjuysva vpbudksy,GRP_0,en,unauthorized loggin attempt,27,3,8.333333333333334,3,unauthorized loggin attempt
security clearance to view cutter and insert drawings on our web based netweaver system.,"security clearance to view cutter and insert drawings on our web based netweaver system.

hello it team,

please help my team members get the proper security clearance to view cutter and insert drawings on our web based netweaver system.  ",ndaoxbvi szxlciue,GRP_0,en,security clearance view cutter insert drawing web based netweaver system team help member get proper,100,15,5.733333333333333,15,security clearance view cutter insert drawing web based netweaver system team help member get proper
i do not get open  gkad from nx9. apper,"appears the next message: ""nx 9 has stoped working"" a problem caused the programdnty...
gkad lathe & gkad4x function properly",otjhnpvk vptsreal,GRP_46,en,get open gkad apper appears next message nx stoped working problem caused programdnty lathe function properly,109,16,5.875,16,get open gkad apper appears next message nx stoped working problem caused programdnty lathe function properly
all the users from usa plant are unable to access mii,all the users from usa plant are unable to access mii. they're getting an error which states that recovering webpage. the entire plant is affected.,kxsceyzo naokumlb,GRP_41,en,user usa plant unable access mii getting error wch state recovering webpage entire affected,91,14,5.571428571428571,14,user usa plant unable access mii getting error wch state recovering webpage entire affected
unable to clock orders in mii. ,"unable to clock orders in mii. multiple user's affected.

phone: ",hcdwkxzo quykrcom,GRP_41,en,unable clock order mii multiple user affected phone,51,8,5.5,8,unable clock order mii multiple user affected phone
windows password reset,windows password reset,kauozcir jlyqxise,GRP_0,af,window password reset,21,3,6.333333333333333,3,window password reset
job SID_37hotf failed in job_scheduler at: 09/28/2016 10:57:00  ,"received from: monitoring_tool@company.com

job SID_37hotf failed in job_scheduler at: 09/28/2016 10:57:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
can you help resetting the hr_tool time clock password?,"the clock that you punch in your employee number, it has a maintenance mode and we forgot the password. this is done on the device and not on the pc.",mfeyouli ndobtzpw,GRP_2,en,help resetting hr tool time clock password punch employee number maintenance mode forgot t done device pc,105,17,5.235294117647059,17,help resetting hr tool time clock password punch employee number maintenance mode forgot t done device pc
missing travel privileges ,"

received from: uyrpdvoq.mbzevtcx@gmail.com

hi

i have now two open travel expenses which i canÂ´t enter into erp

can you you please solve it aerp

[cid:image001.png@01SID_359a8.4942a430]

uyrpdvoq mbzevtcx
sales manager earthworks european served area â€“ north

uyrpdvoq.mbzevtcx@gmail.com<mailto:uyrpdvoq.mbzevtcx@gmail.com>

company infrastructure gmbh
geschÃ¤ftsfÃ¼hrer: phvkowml azbtkqwx und naruedlk mpvhakdq

www.company.com<


",uyrpdvoq mbzevtcx,GRP_10,en,missing travel privilege two open expense wch can´t enter erpcan solve aerp sale manager earthwork european served area – northcompany infrastructure gmbhgeschäftsführer phvkowml azbtkqwx und naruedlk mpvhakdq,209,27,6.777777777777778,27,missing travel privilege two open expense wch can t enter erpcan solve aerp sale manager earthwork european served area northcompany infrastructure gmbhgeschäftsführer phvkowml azbtkqwx und naruedlk mpvhakdq
"unlock user ""erp-mae"" on server HostName_1076","please help unlock the user "" erp-mae"" on server HostName_1076 at the  earliest.",vthuzanc fqdgotvx,GRP_0,en,unlock user erp mae server help earliest,40,7,4.857142857142857,7,unlock user erp mae server help earliest
lost main monitor display,"

received from: wlsazrce.uwehsqbk@gmail.com

hi,

my main monitor will not turn on.  the computer has been shut down and restarted and all cable connections have been checked.  can someone take a look at it?  i can continue working off of the secondary monitor, it is just an inconvenience.

",wlsazrce uwehsqbk,GRP_3,en,lost main monitor display turn computer shut restarted cable connection checked someone take look continue working secondary inconvenience,138,18,6.722222222222222,18,lost main monitor display turn computer shut restarted cable connection checked someone take look continue working secondary inconvenience
engineering tool client - unable to launch,"stopped responding error
multiple programdnty shortcuts exist on his desktop for engineering_tool, and none of them work.
password has expired as well as the aiqjxhuv dceghpwn runtime software is missing from the pc
",fydosbih lafdsumb,GRP_0,en,engineering tool client unable launch stopped responding errormultiple programdnty shortcut exist desktop none work password expired well aiqjxhuv dceghpwn runtime software missing pc,183,23,7.0,23,engineering tool client unable launch stopped responding errormultiple programdnty shortcut exist desktop none work password expired well aiqjxhuv dceghpwn runtime software missing pc
unable to sign in to outlook 2010 after password change,unable to sign in to outlook 2010 after password change,kijgcwlh gfejlcvb,GRP_0,en,unable sign outlook password change,35,5,6.2,5,unable sign outlook password change
ticketing_tool ticket,"

received from: wkqjcfgy.vsknlfri@gmail.com

i need to get crm loaded on my outlook.
i'm currently using the web crm version.

wkqjcfgy vsknlfri
metalworking sales engineer
company inc.

wkqjcfgy.vsknlfri@gmail.com
technical support:




",wkqjcfgy vsknlfri,GRP_0,en,ticketing tool ticket need get crm loaded outlook currently using web version metalworking sale engineer technical support,122,17,6.235294117647059,17,ticketing tool ticket need get crm loaded outlook currently using web version metalworking sale engineer technical support
websites not loading on company center,companycenter.company.com,qcfmxgid jvxanwre,GRP_0,en,website loading company center companycenter,44,5,8.0,5,website loading company center companycenter
acct 81910520 was set up to get one monthly inwarehouse_tool but they are getting multiple inwarehouse_tools. ,"
SID_34 - account 81910520 - smhdyhti tool was set up as zm combined monthly billing.  for july & august they received multiple inwarehouse_tools.  see attached. ",jrzpcesm oznigwvj,GRP_13,en,acct set get one monthly inwarehouse tool getting multiple tool account smhdyhti zm combined billing july august recei haved see attached,137,21,5.571428571428571,20,acct set get one monthly inwarehouse tool getting multiple tool account smhdyhti zm combined billing july august recei haved see attached
open order book problem (( back order )) - access,"we are having a problem back order report paramdntyeter in access. 
((open order book))",jevckify sbnohwiv,GRP_13,en,open order book problem back access report paramdntyeter,56,8,6.125,8,open order book problem back access report paramdntyeter
erp SID_34 password reset,"name:mfeyouli ndobtzpw
language:
browser:microsoft internet explorer
email:mfeyouli.ndobtzpw@gmail.com
customer number:
telephone:5245861556
summary:can you unlock haunm erp SID_34 account, he seems to get locked out everytime he tries to log in",mfeyouli ndobtzpw,GRP_0,en,erp password reset browser microsoft internet explorer unlock haunm account seems get locked everytime try log,110,16,5.9375,16,erp password reset browser microsoft internet explorer unlock haunm account seems get locked everytime try log
erp SID_34 password locked,erp SID_34 password locked,advqtkeu uypkfisq,GRP_0,af,erp password locked,19,3,5.666666666666667,3,erp password locked
printer asking to update driver,printer asking to update driver,gqhfieys pkwcdbrv,GRP_0,no,printer asking update dri haver,31,5,5.4,5,printer asking update dri haver
erp SID_9 password reset,erp SID_9 password reset,ybplwrez lqcyehbf,GRP_0,af,erp password reset,18,3,5.333333333333333,3,erp password reset
ticket update on ticket_no0443915,ticket update on ticket_no0443915,fumkcsji sarmtlhy,GRP_0,sv,ticket update,13,2,6.0,2,ticket update
etime visibility on hr_tool,hi all.  had this issue a month ago and was told to delete my browsing history.  i did and access was restored.  i routinely clear my browsing history but today cannot view etime.  see attached screen shot.,xszoedmc gmhkdsnw,GRP_0,en,etime visibility hr tool t issue month ago told delete browsing story access restored routinely clear today cannot view see attached screen shot,144,23,5.304347826086956,23,etime visibility hr tool t issue month ago told delete browsing story access restored routinely clear today cannot view see attached screen shot
unable to send skype meeting invitation.,unable to send skype meeting invitation.,sdbcpvtx hzpctsla,GRP_0,en,unable send skype meeting invitation,36,5,6.4,5,unable send skype meeting invitation
ughzilfm cfibdamq called requesting for the appreciate hub link,ughzilfm cfibdamq called requesting for the appreciate hub link,olckhmvx pcqobjnd,GRP_0,en,ughzilfm cfibdamq called requesting appreciate hub link,55,7,7.0,7,ughzilfm cfibdamq called requesting appreciate hub link
windows account locked,windows account locked,vyjmlain hvjbmdgi,GRP_0,en,window account locked,21,3,6.333333333333333,3,window account locked
probleme mit ie \niptbwdq csenjruz,probleme mit ie \niptbwdq csenjruz,niptbwdq csenjruz,GRP_24,sq,probleme mit ie,15,3,4.333333333333333,3,probleme mit ie
 wanted to know if the account of pathuick  stope is still active., wanted to know if the account of pathuick  stope is still active.,aorthyme rnsuipbk,GRP_0,en,wanted know account pathuick stope still acti,45,7,5.571428571428571,7,wanted know account pathuick stope still acti
can no longer print to tc 47. ,"i am no longer able to print to tc47. i must install a driver for this and i am not sure how. i used to be able to print to tc47 without an issue, and for some reason i am no longer able to.",zhwktnia dfhormwk,GRP_0,en,longer print tc able must install dri haver t sure used without issue reason,76,14,4.5,14,longer print tc able must install dri haver t sure used without issue reason
